site_code,latitude,longitude,well_depth,well_use,geology,Region_Off,Basin_Subb,observations_2010,observations_2011,observations_2012,observations_2013,observations_2014,observations_2015,observations_2016,observations_2017,observations_2018,observations_2019,observations_2020,observations_2021,observations_2022,observations_2023,observations_2024
351867N1190926W001,35.1867,-119.0926,646.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,1,2,2,1,0,1,0,0,0,0,0,0
351939N1190926W001,35.19384,-119.09261,645.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,1,2,0,1,2,2,1,1,2,1,2
351939N1191313W001,35.1939,-119.1313,820.0,Irrigation,['Q'],SCRO,5-022.14,2,2,1,1,2,1,0,0,1,0,0,0,0,0,0
351942N1188484W001,35.19419,-118.84839,920.0,Public Supply,['Q'],SCRO,5-022.14,0,0,0,0,0,1,0,0,0,1,2,2,2,2,2
351944N1188423W001,35.19423,-118.84251,800.0,Unknown,['Q'],SCRO,5-022.14,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2
351952N1188813W001,35.19413,-118.87849,280.0,Irrigation,['Q'],SCRO,5-022.14,2,2,0,0,0,0,0,0,2,2,1,1,1,0,1
351952N1189182W001,35.19347,-118.91501,1200.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0
351976N1192358W001,35.19757,-119.23575,970.0,Irrigation,['Q'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,4,2,2,2,2
352002N1187698W001,35.20019,-118.76977,800.0,Industrial,['Q'],SCRO,5-022.14,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2
352003N1187856W001,35.2003,-118.7856,800.0,Irrigation,['Q'],SCRO,5-022.14,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0
352011N1190926W001,35.20143,-119.09259,650.0,Irrigation,['Q'],SCRO,5-022.14,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2
352017N1188965W001,35.20161,-118.89635,690.0,Irrigation,['Q'],SCRO,5-022.14,1,2,2,2,2,0,0,1,1,2,0,1,1,0,0
352027N1189557W001,35.20115,-118.95282,198.0,Stockwatering,['Q'],SCRO,5-022.14,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1
352039N1192220W001,35.20484,-119.22218,600.0,Irrigation,['Q'],SCRO,5-022.14,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1
352050N1191815W001,35.20554,-119.18145,700.0,Irrigation,['Q'],SCRO,5-022.14,1,1,0,2,2,2,0,1,0,2,0,2,1,2,2
352053N1191992W001,35.2056,-119.19913,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,0,2,1,2,0,1,2,1,2,1,2,2,2
352068N1194477W002,35.20683,-119.4477,416.0,Observation,['QPc'],SCRO,5-022.14,2,4,4,4,4,4,4,4,3,3,1,0,0,0,0
352070N1191156W001,35.55885,-119.33132,600.0,Residential,['Q'],SCRO,5-022.14,0,2,2,2,2,2,2,2,2,2,1,0,0,0,0
352071N1194564W002,35.20713,-119.45644,527.0,Observation,['QPc'],SCRO,5-022.14,0,0,0,0,0,3,6,5,3,3,1,0,0,0,0
352080N1188710W001,35.2053,-118.86934,630.0,Irrigation,['Q'],SCRO,5-022.14,1,2,3,2,1,3,1,2,0,2,2,1,2,2,1
352080N1189699W001,35.2084,-118.96828,516.0,Irrigation,['Q'],SCRO,5-022.14,1,1,1,2,1,2,1,1,2,1,2,1,0,0,0
352083N1190528W001,35.20851,-119.05251,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
352083N1191203W001,35.2083,-119.1203,700.0,Irrigation,['Q'],SCRO,5-022.14,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0
352086N1192783W001,35.2086,-119.27828,1000.0,Irrigation,['Q'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,4,2,2,2,2
352088N1192520W001,35.20876,-119.25197,1000.0,Irrigation,['Q'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,4,2,2,2,2
352102N1189582W001,35.20781,-118.95409,158.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1
352125N1191992W001,35.21274,-119.19907,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,0,1,2,2,2,2,2,2,1
352128N1191553W001,35.21264,-119.15514,671.0,Irrigation,['Q'],SCRO,5-022.14,2,1,1,1,1,1,1,1,2,1,0,2,1,2,1
352200N1187790W001,35.22003,-118.77903,744.0,Irrigation,['Q'],SCRO,5-022.14,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0
352200N1192037W001,35.21997,-119.20377,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,0,1,0,1,2,2,2,1,1,2,1
352220N1190000W001,35.22126,-119.00047,507.0,Irrigation,['Q'],SCRO,5-022.14,1,2,3,4,2,4,1,2,0,2,2,1,2,2,2
352231N1192098W001,35.2231,-119.2098,600.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,1,2,1,1,2,2,1,0,2,2,2
352233N1191281W001,35.22116,-119.10794,707.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1
352235N1188253W001,35.2235,-118.8253,630.0,Irrigation,['Q'],SCRO,5-022.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
352269N1191923W001,35.2254,-119.19276,700.0,Irrigation,['Q'],SCRO,5-022.14,1,0,2,0,8,12,10,7,1,1,2,2,2,2,2
352275N1191545W001,35.22711,-119.15483,700.0,Irrigation,['Q'],SCRO,5-022.14,0,0,1,2,2,2,1,1,1,2,2,2,2,2,1
352294N1192865W001,35.22944,-119.28645,1000.0,Irrigation,['Q'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,4,2,2,2,2
352311N1187790W001,35.23089,-118.77915,786.0,Unknown,['Q'],SCRO,5-022.14,2,2,2,2,1,0,1,0,0,1,2,2,2,2,2
352353N1191548W001,35.23445,-119.15482,700.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,1,1,1,0,2,1,2,2,2
352383N1192126W001,35.23829,-119.21252,701.0,Irrigation,['Q'],SCRO,5-022.14,2,2,2,2,2,2,1,1,2,2,2,0,1,2,0
352389N1189485W001,35.23537,-118.94554,295.0,Irrigation,['Q'],SCRO,5-022.14,1,0,1,0,1,2,1,1,0,1,2,2,2,2,2
352410N1190280W001,35.24141,-119.03005,710.0,Irrigation,['Q'],SCRO,5-022.14,1,1,3,3,1,3,2,2,2,2,3,2,2,2,2
