ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
P395, Rose_LodgeOR2006,   45.0222792037, -123.8575278867,   53.05888, -2515929.29761, -3750099.66549,  4489136.34977, 20230517
P396, RoosBC026GOR2007,   45.3095132976, -123.8228963682,   54.57995, -2501062.07386, -3732814.18507,  4511644.24167, 20230517
P397, RadarRidgeWA2007,   46.4216190426, -123.7991612351,  566.33394, -2450361.28304, -3660421.90075,  4598088.81623, 20230517
P398, StaffordCrWA2006,   46.9257846635, -123.9161450094,   23.52935, -2434871.90969, -3621267.02066,  4636151.22345, 20230517
P399, Wynoochee_WA2008,   47.4339193694, -123.6129614360,  919.45252, -2393073.11095, -3600097.43766,  4675208.34429, 20230517
P400, Quinlt014GWA2008,   47.5133481866, -123.8124511530,   65.02786, -2401649.97650, -3585855.95410,  4680548.18927, 20230517
P401, Quillayut_WA2005,   47.9371878188, -124.5570185584,   36.24183, -2428255.03430, -3525611.51376,  4712227.13846, 20230517
P402, HohHumRch_WA2007,   47.7662212543, -124.3058969538,   23.76862, -2420718.05529, -3547855.52919,  4699461.58751, 20230517
P403, FloeQuaryGWA2005,   48.0623216963, -124.1408754238,  284.73150, -2396874.60622, -3534734.48135,  4721722.14455, 20230517
P404, PovHollow_OR2005,   45.1585336463, -123.3903291257,   79.04439, -2479375.17488, -3761551.20015,  4499845.27466, 20230517
P405, Tri_Point_OR2006,   45.6293268970, -123.6437580192,  955.67550, -2475689.66789, -3720045.59684,  4537215.47099, 20230517
P406, McMinvilleOR2005,   45.1903720950, -123.1522580580,   27.29931, -2462331.72350, -3769689.15362,  4502302.97208, 20230517
P407, Seaside22GOR2006,   45.9546492728, -123.9310060360,  -13.08127, -2479462.69469, -3685519.92233,  4561735.08819, 20230517
P408, Whakiakum_WA2005,   46.2005015471, -123.3765876663,   35.28682, -2432874.44649, -3692930.43310,  4580726.36449, 20230517
P409, VernoniaAPOR2005,   45.8512933609, -123.2394787104,  177.30237, -2439396.01010, -3722187.72560,  4553877.52899, 20230517
P410, Cataln023GOR2008,   46.1111414347, -123.0786067306,  173.12104, -2417597.71253, -3711615.98855,  4573945.24011, 20230517
P412, MulinoAir_OR2006,   45.2211053726, -122.5891027460,   53.21328, -2423865.75570, -3791681.88562,  4504727.85972, 20230517
P413, Methow_Ap_WA2008,   48.4265108715, -120.1495859345,  501.26503, -2129925.17858, -3666995.75089,  4748853.80971, 20230517
P414, RidgefieldWA2006,   45.8348680962, -122.6928388957,   63.84571, -2404438.16229, -3746327.21322,  4552524.31952, 20230517
P415, WHGolfCrs_WA2004,   46.6559905593, -123.7298665206,  -15.38587, -2435209.31030, -3647322.13748,  4615588.35865, 20230517
P416, Suntop_LO_WA2008,   47.0399414304, -121.5969299761, 1576.52253, -2282028.95128, -3709830.50762,  4645945.70460, 20230517
P417, Pe_Ell_HS_WA2005,   46.5747375364, -123.2979309126,  102.47955, -2411292.55896, -3671130.99568,  4609469.71678, 20230517
P418, Matlock___WA2006,   47.2366446988, -123.4078144024,  115.16693, -2388748.08695, -3621651.72639,  4659751.93304, 20230517
P419, Rock_Peak_WA2008,   47.4092982035, -123.3665272479,  935.99219, -2378681.60275, -3612049.93287,  4673368.16172, 20230517
P420, FantasyFd_WA2004,   46.5886015788, -122.8663331379,   74.10389, -2382952.41815, -3688233.80971,  4610508.39344, 20230517
P421, MossyRock_WA2004,   46.5318555519, -122.4292305747,  220.58187, -2357256.51114, -3710256.63014,  4606277.31078, 20230517
P422, Foot_Hill_ID2007,   46.7978646624, -116.9796858669,  843.72239, -1984677.69247, -3898565.73436,  4627025.56446, 20230517
P423, Grapeview_WA2005,   47.2879029642, -122.9412113749,   39.97513, -2356871.58135, -3637429.34360,  4663564.13027, 20230517
P424, QuilcenehsWA2008,   47.8231831940, -122.8747137128,   -1.55889, -2328794.97327, -3603254.82303,  4703697.53511, 20230517
P425, Toledo_HS_WA2008,   46.4526934605, -122.8454002216,   64.26425, -2387546.94726, -3698308.60105,  4600105.60519, 20230517
P426, GordonSch_WA2006,   47.8027240481, -122.5145867884,    3.33786, -2307008.97849, -3619245.05312,  4702173.52458, 20230517
P427, US26BoringOR2006,   45.4301781711, -122.3406327293,  149.20250, -2398596.66700, -3788254.03491,  4521133.02891, 20230517
P429, CascadeAirOR2006,   45.6761272354, -121.8773618359,   25.56136, -2357536.62021, -3790878.80014,  4540186.55979, 20230517
P431, Watch_Mtn_WA2006,   46.5720808975, -121.9884544901, 1422.71381, -2327362.04339, -3726228.44969,  4610225.51082, 20230517
P432, PackwoodF_WA2004,   46.6228550269, -121.6832315439,  318.88427, -2304926.48287, -3734438.20631,  4613302.30314, 20230517
P433, Table_Mtn_OR2008,   44.5325213908, -119.8720139091, 1158.69360, -2268682.88786, -3949823.73717,  4451277.66062, 20230517
P434, Big_Chief_WA2008,   47.7402016860, -121.0756105801, 1698.03222, -2218639.33106, -3681422.66885,  4698755.67138, 20230517
P435, ShoresNW1GWA2005,   48.0595484421, -123.5032796416,  287.35034, -2357519.55455, -3561380.57509,  4721517.99250, 20230517
P436, Dungeness_WA2006,   48.0453018976, -123.1343493611,  190.90781, -2335147.72329, -3577419.47243,  4720387.33585, 20230517
P437, Whidbey_S_WA2007,   48.0018087062, -122.4591589295,   12.46601, -2294694.71059, -3607621.40532,  4717020.16125, 20230517
P439, OrcasAirptWA2005,   48.7081916925, -122.9093049583,  -13.85843, -2291067.00397, -3540189.60224,  4769196.22322, 20230517
P440, MeridianSDWA2006,   48.8561924535, -122.4933428393,    6.36695, -2258661.87445, -3546298.17705,  4780056.31700, 20230517
P441, KendallEleWA2008,   48.9159779100, -122.1396436904,  115.21347, -2234100.21622, -3555992.83139,  4784510.20094, 20230517
P443, La_Rush_LkWA2008,   48.5096468359, -121.2855586795, 1062.12806, -2198804.23245, -3618451.86819,  4755403.97644, 20230517
P445, WascoAirptOR2005,   45.5901222668, -120.6722481967,  436.06798, -2280919.21245, -3845747.75039,  4533795.68312, 20230517
P446, Kelso_Air_WA2007,   46.1156618775, -122.8927891059,  -16.44782, -2405279.73628, -3719022.60814,  4574156.94381, 20230517
P447, MorrowAir_OR2007,   45.4528204038, -119.6901267444,  471.23583, -2220072.03583, -3893759.52684,  4523128.22142, 20230517
P448, HorsHeavenWA2005,   45.9105776205, -120.0052023024,  261.42750, -2223172.75029, -3849840.85208,  4558525.29188, 20230517
P449, Olsen_BrosWA2006,   46.2597913948, -119.6309987972,  208.43450, -2184138.43747, -3839940.16518,  4585410.49043, 20230517
P450, WattsBros_WA2005,   45.9533341261, -119.5441964622,  163.67569, -2190407.70358, -3864573.93028,  4561760.50772, 20230517
P451, WSUOthelo_WA2004,   46.7927856771, -119.0413636600,  351.43974, -2123681.24674, -3824707.93213,  4626280.15809, 20230517
P452, Soap_Lake_WA2005,   47.4035479911, -119.4872844527,  323.06088, -2128890.12844, -3764749.77231,  4672484.22043, 20230517
