Year,RO,HR,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Total AW
2015,NCRO,06_San Joaquin River,20620.31,9921.72,300.84,0,182632.98,16601.37,4109.85,4268.7,260917.17,176460.65,77066.57,0,17399.26,1465.02,6605.56,24605.32,251671.82,361373.71,13102.54,342479.48,1771602.87
2015,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,809.28,17063.33,47450.07,0,0,0,0,16.08,0,0,0,0,65338.76
2011,SCRO,03_Central Coast,1071.9,0,0,0,282.37,4248.4,0,2667.43,1092.6,5914,4915.38,1574.99,1916.17,10649.98,766.1,323229.2,0,11801.33,4026.91,108555.74,482712.5
2011,SCRO,06_San Joaquin River,66486.93,26268.74,309416.53,0,504046.59,43822.51,1926.4,162449.31,637154.77,328066.7,131655.63,21403.05,35839.8,12222,134.67,56220.6,1471911.87,296508.92,17756.27,295369.22,4418660.51
2011,SCRO,07_Tulare Lake,349954.97,0,1118333.81,796.79,834352.88,21580.33,45170.93,398320.75,1400643.82,167866.64,293205.32,10458.07,54592.31,146180.61,27937.82,127983.08,2160051.57,839538.96,751183,1321491.37,10069643.03
2012,SCRO,03_Central Coast,529.8,0,0,0,374.12,4151.97,0,2175.37,1259.18,6950.4,3196.29,1838.77,1874.57,11379.46,826.4,362358.38,0,14080.87,4748.12,124062.75,539806.45
2012,SCRO,06_San Joaquin River,144069.77,32621.62,263264.2,0,522305.32,59344.78,1432.15,152405.74,815443.37,386340.73,161832.83,25548.78,30240.99,9038.48,148.75,52889.36,1740401.88,344268.68,18919.17,343592.83,5104109.43
2012,SCRO,07_Tulare Lake,479802.56,0,997488.92,0,933169.68,39509.26,65045.35,466232.54,1780256.86,186588.5,338705.69,7200.67,64175.31,153485.82,33437.69,156845.97,2440061.77,935770.67,940329.35,1665326.93,11683433.54
2013,SCRO,03_Central Coast,328.42,0,0,0,358.29,4214.8,0,5376.21,1287.16,7491.68,3058.78,1799.84,1923.12,11040.88,844.2,417417.38,0,14899.57,4825.13,128706.07,603571.53
2013,SCRO,06_San Joaquin River,154115.3,18723.59,182879.8,0,576470.56,24134.38,1604.98,115872.31,768536.19,385882.35,147800.18,25353.37,36773.81,8348.7,190.86,44183.71,1902990.5,397005.75,18643.8,362219.63,5171729.77
2013,SCRO,07_Tulare Lake,408523.3,0,774401.51,0,910352.58,40762.73,72841.53,409866.79,1557031.9,200278.91,352964.61,10142.93,67216.07,163616.47,30462.22,148455.23,2781237.5,1034929.75,944257.17,1568049.81,11475391.01
2014,SCRO,03_Central Coast,1019.4,0,0,0,374,3522.5,0,3188.41,1258.23,7732.76,2150.29,1777.35,2068.96,11123.37,876,394751.05,0,13101.3,5700.6,127274.39,575918.61
2014,SCRO,06_San Joaquin River,157146.19,4014.61,183456.83,0,570553.69,23890.49,1017.35,95273.81,770314.94,391716.3,152527.93,27521.01,44305.75,17045.18,173.01,51342.29,1995812.14,384757.34,21447.76,339740.6,5232057.22
2014,SCRO,07_Tulare Lake,241757.7,0,596032.52,0,732225.1,43339.32,58463.79,244931.47,1391203.63,166877.89,339293.45,7000.07,56713.18,157487,30048.07,136564.05,3292865.92,1044534.83,1125327.17,1639786.45,11304451.61
2015,SCRO,03_Central Coast,1639.37,0,0,0,383.97,2028.9,0,1811.76,1539.43,7449.38,1929.47,1718.66,1636.79,11542.97,959.32,399284.52,0,18800.73,4780.21,128687.21,584192.69
2015,SCRO,06_San Joaquin River,173150.29,2973.8,150084.76,0,520133.17,22755.43,951.1,121130.26,733166.07,367722.78,168853.31,18911.96,40125.95,6897.38,166.69,50742.72,2154069.86,365055.36,20533.89,324534.35,5241959.13
2015,SCRO,07_Tulare Lake,421871.24,0,461371.57,0,810033.54,29677.8,62279.3,436365.85,1261204.5,143823.59,318435.67,10560.73,48937.38,126330.11,28280.82,90656.23,3467098.82,904873.92,1031066.2,1496293.36,11149160.63
2016,NRO,01_North Coast,74325.08,0,0,0,293.88,0,0,759.6,145904.48,310864.74,0,0,0,6881.67,18342.12,17501.55,0,734.04,20.16,1030.39,576657.71
2016,NRO,05_Sacramento River,51696.29,1067574.02,6757.64,0,39496.04,8831.35,10426.67,43666.98,222052.18,595830.92,70579.81,0,25751.53,3622.05,0,8734.28,665773.64,600601.36,85281.11,38260.54,3544936.41
2016,NRO,08_North Lahontan,6072.74,2359.35,0,0,0,0,0,0,82844.38,162633.08,0,0,0,0,645.84,395.2,0,0,0,0,254950.59
2017,NRO,01_North Coast,32039.22,0,0,0,2655.69,65.34,0,7152.23,184653.22,398385.76,0,0,10.43,3839.36,19632.35,9106.88,0,675.85,15.25,1371.83,659603.41
2017,NRO,05_Sacramento River,61619.42,1693685.63,8986.54,0,50723.52,10690.14,9670.33,64532.83,163477.04,615108.36,0,0,17945.42,792.93,0,9694.21,669240.51,492372.22,80011.58,57537.64,4006088.32
2017,NRO,08_North Lahontan,5644.94,2443.75,0,0,43.96,0,0,253.99,79858.84,175750.65,0,0,15.3,0,0,531.14,0,8.85,0,0,264551.42
2018,NRO,01_North Coast,63979.98,0,0,0,3021.34,0,0,8254.24,182572.94,405611.12,0,0,0,3122.96,0,22715.44,0,1572.85,24.24,1143.7,692018.81
2018,NRO,05_Sacramento River,100897.12,1667364.93,8945.68,0,46331.79,9047.64,7303.16,86846.99,164561.67,593512.33,74446.18,0,18261.81,879.17,0,8583.49,710125.41,581627.53,115777.94,36880.19,4231393.01
2018,NRO,08_North Lahontan,10313.35,2170.04,0,0,45.12,0,0,0,84098.21,171323.98,0,0,0,0,0,646.06,0,8.95,0,0,268605.73
2019,NRO,01_North Coast,58212.99,0,0,0,0,0,0,6905.73,153782.88,343286.94,0,0,8.75,4007.9,18216.41,8038.03,0,556.36,2.01,744.05,593762.05
2019,NRO,05_Sacramento River,66069.94,825936.77,7631,0,0,9044.68,6372.23,105138.69,143980.33,520359.09,73508.97,0,14611.58,412.87,0,8170.12,644675.26,482098.17,53074.62,35773.54,2996857.86
2019,NRO,08_North Lahontan,15661.45,2047.92,0,0,0,0,0,9.66,83157.78,160626.44,0,0,16.47,0,0,649.88,0,0,0,0,262169.6
2020,NRO,01_North Coast,57673.79,0,0,0,0,71.94,0,8649.13,104023.41,342442.61,0,0,0,5330.76,18785.91,7481.51,0,500.59,1.33,760.86,545721.84
2020,NRO,05_Sacramento River,85630.74,1592591.64,4090.24,0,0,10424.38,7328.15,118221.08,169470.65,878392.15,69971.57,0,14781.66,1035.99,0,8333.1,772922.56,566497.19,69426.78,40537.06,4409654.94
2020,NRO,08_North Lahontan,24518.46,2948.27,0,0,0,0,0,321.65,102302.94,217306.98,0,0,17.46,0,0,381.8,0,0,0,0,347797.56
2016,NCRO,01_North Coast,2133.36,0,0,0,0,0,0,21018.35,808.7,58242.04,18.88,0,0,0,0,2421.16,0,10204.18,653.07,145725.97,241225.71
2016,NCRO,02_San Francisco Bay,16470.2,0,0,0,368.78,578.1,934.52,22259.72,2059.16,21231.95,0,0,465.39,0,0,8917.63,2331.85,7195.54,1945.82,161937.8,246696.46
2016,NCRO,03_Central Coast,2215.42,0,0,0,509.35,0,0,2775.45,99.09,2068.35,0,0,35.52,99.9,0,31425.1,0,5896.83,133.12,2800.54,48058.67
